住所コード,市区町村名,大字名,字丁目名,街区,地番・戸番,建物名,階数,buildingCode,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販（食品）件数,物販（衣料）件数,物販（日用雑貨）件数,サービス（レンタル）件数,サービス（冠婚葬祭）件数,サービス（生活関連）件数,サービス（自動車）件数,サービス（その他）件数,量販店件数,金融・保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル・旅館件数,医療・福祉件数,公共件数,教育件数,宅配・引越・郵便件数,運輸件数,建設・設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,lang,lat,部屋数推定フラグ
13101,千代田区,平河町,１丁目,5,15,Ｔ．Ｎ．Ｓ平河町１丁目駐車場,10,9999,2,0,0,2,0,0,0,0,100,0,0,180.68,1806.8,0,0,0,0,0,0,1806.8,903.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,139.7390856,35.6824714,0
13101,千代田区,平河町,１丁目,5,3,大和屋ビル,4,3003,6,0,3,3,0,0,0,50,50,0,0,74.93,299.72,0,0,187.33,62.44,0,0,112.4,37.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7393175,35.6823139,0
13101,千代田区,平河町,１丁目,5,5,平河町ＳＫビル,6,3004,10,0,0,8,0,2,0,0,80,0,20,63.61,445.27,0,0,0,0,0,0,318.05,39.76,127.22,63.61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7390253,35.6823428,0
13101,千代田区,平河町,１丁目,5,2,平河町カイザカビル,5,3004,5,0,5,0,0,0,0,100,0,0,0,121.32,606.6,0,0,606.6,121.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7392486,35.6824025,1
13101,千代田区,平河町,１丁目,6,11,エクシール平河町,5,3003,27,0,5,16,6,0,0,18.52,59.26,22.22,0,172.22,1033.32,0,0,169.76,33.95,223.89,37.31,639.67,39.98,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7394928,35.6824361,0
13101,千代田区,平河町,１丁目,6,15,ＵＳビル,9,3003,27,0,0,25,2,0,0,0,92.59,7.41,0,204.27,1838.43,0,0,0,0,142.99,71.49,1695.44,67.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,139.739825,35.6825525,0
13101,千代田区,平河町,１丁目,6,7,平河町ホームズ,8,1002,27,0,0,1,25,1,0,0,3.7,92.59,3.7,525.02,4200.16,0,0,0,0,3937.65,157.51,131.26,131.26,131.26,131.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7399578,35.6823408,0
13101,千代田区,平河町,１丁目,6,17,,0,1001,1,0,1,0,0,0,0,100,0,0,0,45.97,91.94,0,0,91.94,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7402117,35.6827147,0
13101,千代田区,平河町,１丁目,6,1,そば松月庵,4,1008,2,0,1,1,0,0,0,50,50,0,0,40.61,162.44,0,0,121.83,121.83,0,0,40.61,40.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7402447,35.6826608,0
13101,千代田区,平河町,１丁目,6,16,ＡＳＡ麹町関口新聞舗,5,2027,1,0,0,1,0,0,0,0,100,0,0,63.51,317.55,0,0,0,0,0,0,317.55,317.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7400111,35.6826478,0
13101,千代田区,平河町,１丁目,6,13,渡辺ビル,5,3003,2,0,1,1,0,0,0,50,50,0,0,44.13,220.65,0,0,176.52,176.52,0,0,44.13,44.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7394444,35.6825708,0
13101,千代田区,平河町,１丁目,6,8,平河町貝坂ビル,6,3004,14,0,0,13,0,1,0,0,92.86,0,7.14,271.13,1626.78,0,0,0,0,0,0,1355.65,104.28,271.13,271.13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7396189,35.6823092,0
13101,千代田区,平河町,１丁目,6,13,パーク平河町,14,1002,55,0,6,0,49,0,0,10.91,0,89.09,0,391.82,5485.48,0,0,568.14,94.69,4917.34,100.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.739645,35.6824875,0
13101,千代田区,平河町,１丁目,6,16,,4,9999,4,0,4,0,0,0,0,100,0,0,0,80.42,321.68,0,0,321.68,80.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7400814,35.682655,1
13101,千代田区,平河町,１丁目,6,17,,0,1001,1,0,1,0,0,0,0,100,0,0,0,75.85,151.7,0,0,151.7,151.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7401492,35.6826708,1
13101,千代田区,平河町,１丁目,6,13,鉾之原ハウス,5,2027,1,0,0,1,0,0,0,0,100,0,0,48.77,243.85,0,0,0,0,0,0,243.85,243.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7394936,35.6825764,0
13101,千代田区,平河町,１丁目,7,3,,3,1001,2,0,2,0,0,0,0,100,0,0,0,30.38,91.14,0,0,91.14,45.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7411464,35.6826581,0
13101,千代田区,平河町,１丁目,7,3,平河町平成ビル,4,3003,11,0,2,4,4,1,0,18.18,36.36,36.36,9.09,107.47,429.88,0,0,53.74,26.87,241.81,60.45,107.47,26.87,26.87,26.87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.741035,35.6825978,0
